# X-Filed  Y-Field    Wavelength  X-Coord Y-Coord     Rays-thru
# (min)    (min)      (micron)    (mm)         (mm)           %
-4.20   -1.50   0.31000     79.38773        -63.89009       87.70
-4.20   -1.50   0.31270     79.35924        -61.86172       88.33
-4.20   -1.50   0.31540     79.33165        -59.83362       88.33
-4.20   -1.50   0.31810     79.30496        -57.80572       88.96
-4.20   -1.50   0.32080     79.27919        -55.77795       89.27
-4.20   -1.50   0.32350     79.25432        -53.75024       89.27
-4.20   -1.50   0.32620     79.23038        -51.72255       89.59
-4.20   -1.50   0.32890     79.20733        -49.69478       89.91
-4.20   -1.50   0.33160     79.18519        -47.66686       90.54
-4.20   -1.50   0.33430     79.16399        -45.63877       90.54
-4.20   -1.50   0.33700     79.14371        -43.61040       90.85
-4.20   -1.50   0.33970     79.12433        -41.58167       90.85
-4.20   -1.50   0.34240     79.10589        -39.55251       90.54
-4.20   -1.50   0.34510     79.08837        -37.52291       90.85
-4.20   -1.50   0.34780     79.07179        -35.49273       91.17
-4.20   -1.50   0.35050     79.05613        -33.46192       91.48
-4.20   -1.50   0.35320     79.04139        -31.43040       91.80
-4.20   -1.50   0.35590     79.02761        -29.39811       92.11
-4.20   -1.50   0.35860     79.01476        -27.36498       92.43
-4.20   -1.50   0.36130     79.00285        -25.33093       92.74
-4.20   -1.50   0.36400     78.99187        -23.29586       92.74
-4.20   -1.50   0.36670     78.98184        -21.25973       93.06
-4.20   -1.50   0.36940     78.97276        -19.22246       93.06
-4.20   -1.50   0.37210     78.96463        -17.18395       93.06
-4.20   -1.50   0.37480     78.95744        -15.14415       93.06
-4.20   -1.50   0.37750     78.95120        -13.10296       93.06
-4.20   -1.50   0.38020     78.94592        -11.06031       92.74
-4.20   -1.50   0.38290     78.94159        -9.01613        92.74
-4.20   -1.50   0.38560     78.93821        -6.97033        92.74
-4.20   -1.50   0.38830     78.93580        -4.92285        93.38
-4.20   -1.50   0.39100     78.93434        -2.87359        93.69
-4.20   -1.50   0.39370     78.93384        -0.82248        93.69
-4.20   -1.50   0.39640     78.93429        1.23057     93.69
-4.20   -1.50   0.39910     78.93571        3.28563     93.69
-4.20   -1.50   0.40180     78.93810        5.34278     93.69
-4.20   -1.50   0.40450     78.94144        7.40210     93.38
-4.20   -1.50   0.40720     78.94575        9.46369     93.38
-4.20   -1.50   0.40990     78.95103        11.52762        93.69
