# X-Filed  Y-Field    Wavelength  X-Coord Y-Coord     Rays-thru
# (min)    (min)      (micron)    (mm)         (mm)           %
-4.20   -1.50   0.54000     79.34861        -67.60349       83.28
-4.20   -1.50   0.54500     79.31857        -65.49829       83.60
-4.20   -1.50   0.55000     79.28946        -63.39346       83.91
-4.20   -1.50   0.55500     79.26131        -61.28894       84.23
-4.20   -1.50   0.56000     79.23412        -59.18470       84.86
-4.20   -1.50   0.56500     79.20788        -57.08061       84.86
-4.20   -1.50   0.57000     79.18257        -54.97663       84.86
-4.20   -1.50   0.57500     79.15820        -52.87265       84.86
-4.20   -1.50   0.58000     79.13479        -50.76863       84.86
-4.20   -1.50   0.58500     79.11234        -48.66450       85.80
-4.20   -1.50   0.59000     79.09085        -46.56018       85.49
-4.20   -1.50   0.59500     79.07028        -44.45557       85.49
-4.20   -1.50   0.60000     79.05067        -42.35062       85.49
-4.20   -1.50   0.60500     79.03199        -40.24524       85.49
-4.20   -1.50   0.61000     79.01430        -38.13939       85.49
-4.20   -1.50   0.61500     78.99757        -36.03296       85.80
-4.20   -1.50   0.62000     78.98180        -33.92588       85.80
-4.20   -1.50   0.62500     78.96697        -31.81807       86.12
-4.20   -1.50   0.63000     78.95310        -29.70946       86.75
-4.20   -1.50   0.63500     78.94019        -27.59995       86.75
-4.20   -1.50   0.64000     78.92819        -25.48947       86.75
-4.20   -1.50   0.64500     78.91719        -23.37794       86.75
-4.20   -1.50   0.65000     78.90717        -21.26531       87.38
-4.20   -1.50   0.65500     78.89812        -19.15148       87.38
-4.20   -1.50   0.66000     78.89002        -17.03638       87.70
-4.20   -1.50   0.66500     78.88291        -14.91989       87.07
-4.20   -1.50   0.67000     78.87676        -12.80195       87.38
-4.20   -1.50   0.67500     78.87156        -10.68251       87.38
-4.20   -1.50   0.68000     78.86736        -8.56144        87.38
-4.20   -1.50   0.68500     78.86412        -6.43867        87.38
-4.20   -1.50   0.69000     78.86185        -4.31412        87.07
-4.20   -1.50   0.69500     78.86057        -2.18771        87.07
-4.20   -1.50   0.70000     78.86025        -0.05936        87.70
-4.20   -1.50   0.70500     78.86093        2.07102     87.70
-4.20   -1.50   0.71000     78.86259        4.20353     87.70
-4.20   -1.50   0.71500     78.86524        6.33824     87.70
-4.20   -1.50   0.72000     78.86887        8.47523     87.70
-4.20   -1.50   0.72500     78.87351        10.61460        87.70
-4.20   -1.50   0.73000     78.87914        12.75644        87.38
-4.20   -1.50   0.73500     78.88575        14.90083        87.70
-4.20   -1.50   0.74000     78.89337        17.04786        87.38
-4.20   -1.50   0.74500     78.90199        19.19763        87.38
-4.20   -1.50   0.75000     78.91161        21.35022        87.38
-4.20   -1.50   0.75500     78.92224        23.50572        87.38
-4.20   -1.50   0.76000     78.93386        25.66422        87.38
-4.20   -1.50   0.76500     78.94650        27.82582        87.38
-4.20   -1.50   0.77000     78.96015        29.99060        87.07
-4.20   -1.50   0.77500     78.97479        32.15865        87.38
-4.20   -1.50   0.78000     78.99047        34.33007        87.38
-4.20   -1.50   0.78500     79.00715        36.50496        87.38
-4.20   -1.50   0.79000     79.02485        38.68342        87.38
-4.20   -1.50   0.79500     79.04358        40.86550        87.07
-4.20   -1.50   0.80000     79.06331        43.05134        86.75
-4.20   -1.50   0.80500     79.08413        45.24104        86.12
-4.20   -1.50   0.81000     79.10594        47.43467        86.44
-4.20   -1.50   0.81500     79.12877        49.63232        86.44
-4.20   -1.50   0.82000     79.15263        51.83410        86.44
-4.20   -1.50   0.82500     79.17752        54.04011        86.44
-4.20   -1.50   0.83000     79.20343        56.25043        86.12
-4.20   -1.50   0.83500     79.23038        58.46519        85.80
-4.20   -1.50   0.84000     79.25839        60.68444        86.12
-4.20   -1.50   0.84500     79.28742        62.90832        85.49
-4.20   -1.50   0.85000     79.31749        65.13693        85.17
-4.20   -1.50   0.85500     79.34858        67.37031        85.17
-4.20   -1.50   0.86000     79.38070        69.60861        85.17
-4.20   -1.50   0.86500     79.41385        71.85192        85.17
-4.20   -1.50   0.87000     79.44807        74.10033        84.86
-4.20   -1.50   0.87500     79.48329        76.35395        84.54
-4.20   -1.50   0.88000     79.51954        78.61286        84.23
-4.20   -1.50   0.88500     79.55681        80.87713        84.54
-4.20   -1.50   0.89000     79.59512        83.14691        84.54
-4.20   -1.50   0.89500     79.63445        85.42229        84.23
-4.20   -1.50   0.90000     79.67478        87.70333        83.28
-4.20   -1.50   0.90500     79.71612        89.99013        83.28
-4.20   -1.50   0.91000     79.75847        92.28279        82.65
-4.20   -1.50   0.91500     79.80182        94.58142        82.33
-4.20   -1.50   0.92000     79.84615        96.88608        81.70
-4.20   -1.50   0.92500     79.89147        99.19688        81.70
-4.20   -1.50   0.93000     79.93775        101.51389       81.70
-4.20   -1.50   0.93500     79.98496        103.83717       81.70
-4.20   -1.50   0.94000     80.03296        106.16669       81.07
-4.20   -1.50   0.94500     80.08070        108.50164       77.92
-4.20   -1.50   0.95000     80.12972        110.84433       70.03
-4.20   -1.50   0.95500     80.18038        113.19440       56.78
-4.20   -1.50   0.96000     80.23131        115.54916       42.27
-4.20   -1.50   0.96500     80.28291        117.90820       29.02
-4.20   -1.50   0.97000     80.33523        120.27177       17.03
-4.20   -1.50   0.97500     80.38738        122.64161       7.57
-4.20   -1.50   0.98000     80.43891        125.01909       1.58
-4.20   -1.50   0.98500     0.00000     0.00000     0.00
-4.20   -1.50   0.99000     0.00000     0.00000     0.00
-4.20   -1.50   0.99500     0.00000     0.00000     0.00
-4.20   -1.50   1.00000     0.00000     0.00000     0.00
-3.11   -1.50   0.54000     58.85576        -68.40829       88.01
-3.11   -1.50   0.54500     58.83281        -66.31022       88.33
-3.11   -1.50   0.55000     58.81059        -64.21260       88.33
-3.11   -1.50   0.55500     58.78911        -62.11538       88.64
-3.11   -1.50   0.56000     58.76836        -60.01850       88.96
-3.11   -1.50   0.56500     58.74833        -57.92185       89.59
-3.11   -1.50   0.57000     58.72902        -55.82537       89.91
-3.11   -1.50   0.57500     58.71043        -53.72896       89.59
-3.11   -1.50   0.58000     58.69259        -51.63261       89.91
-3.11   -1.50   0.58500     58.67545        -49.53622       90.22
-3.11   -1.50   0.59000     58.65904        -47.43967       90.22
-3.11   -1.50   0.59500     58.64334        -45.34292       90.22
-3.11   -1.50   0.60000     58.62835        -43.24587       90.22
-3.11   -1.50   0.60500     58.61411        -41.14849       89.91
-3.11   -1.50   0.61000     58.60058        -39.05069       90.22
-3.11   -1.50   0.61500     58.58777        -36.95236       90.54
-3.11   -1.50   0.62000     58.57567        -34.85343       90.85
-3.11   -1.50   0.62500     58.56428        -32.75383       90.85
-3.11   -1.50   0.63000     58.55360        -30.65348       91.17
-3.11   -1.50   0.63500     58.54367        -28.55232       91.48
-3.11   -1.50   0.64000     58.53446        -26.45027       91.48
-3.11   -1.50   0.64500     58.52597        -24.34722       91.48
-3.11   -1.50   0.65000     58.51819        -22.24311       91.48
-3.11   -1.50   0.65500     58.51113        -20.13786       91.80
-3.11   -1.50   0.66000     58.50479        -18.03138       91.80
-3.11   -1.50   0.66500     58.49917        -15.92358       91.80
-3.11   -1.50   0.67000     58.49428        -13.81440       91.80
-3.11   -1.50   0.67500     58.49010        -11.70375       91.80
-3.11   -1.50   0.68000     58.48664        -9.59155        91.80
-3.11   -1.50   0.68500     58.48391        -7.47770        91.80
-3.11   -1.50   0.69000     58.48192        -5.36214        91.80
-3.11   -1.50   0.69500     58.48065        -3.24478        91.80
-3.11   -1.50   0.70000     58.48011        -1.12554        92.11
-3.11   -1.50   0.70500     58.48030        0.99569     92.43
-3.11   -1.50   0.71000     58.48122        3.11898     92.43
-3.11   -1.50   0.71500     58.48287        5.24442     92.43
-3.11   -1.50   0.72000     58.48526        7.37207     92.43
-3.11   -1.50   0.72500     58.48837        9.50205     91.80
-3.11   -1.50   0.73000     58.49222        11.63444        91.80
